sqft,floors,bedrooms,price
1190,1.0,3,166950.0
2140,1.0,3,799000.0
2180,1.0,3,400000.0
1060,1.0,3,230000.0
1690,2.0,3,256883.0
1970,1.5,4,423000.0
2150,2.0,3,465000.0
1910,2.0,3,440000.0
1350,1.0,3,385000.0
860,1.0,3,210000.0
1940,2.0,3,297000.0
1010,1.0,3,470000.0
1300,1.0,3,226500.0
910,1.0,3,274250.0
2480,1.0,4,840000.0
2440,2.0,3,677900.0
1010,1.0,3,425000.0
900,1.0,2,180250.0
2300,2.0,6,464000.0
1550,2.0,4,320000.0
1270,2.0,3,625504.0
2240,1.0,4,592500.0
2714,2.0,3,465000.0
1720,2.0,4,477000.0
850,1.0,2,280000.0
3300,1.0,5,1505000.0
2250,2.0,3,445838.0
3900,1.0,2,1072000.0
1320,1.0,2,467000.0
2760,2.0,4,686000.0
1750,1.0,3,279950.0
2330,2.0,4,527000.0
2220,1.0,3,325000.0
2020,2.0,3,328000.0
1250,1.0,3,390000.0
1510,1.0,2,479950.0
1720,1.0,4,264950.0
1430,1.0,3,235000.0
1480,2.0,3,516500.0
1450,2.0,2,655000.0
2280,1.0,4,500000.0
2940,1.0,6,315000.0
1000,1.0,2,213000.0
2480,1.5,3,475000.0
3760,2.0,5,1025000.0
2220,1.0,3,416000.0
1970,1.5,4,410000.0
3830,2.0,3,800000.0
4410,1.0,6,472000.0
1430,1.0,3,225000.0
830,1.0,2,210000.0
1430,1.5,2,455000.0
1300,1.0,3,225000.0
1030,1.0,2,480000.0
2740,2.0,3,363000.0
3650,1.0,4,2400000.0
720,1.0,2,181000.0
2010,1.0,4,250000.0
1560,1.0,3,481000.0
1810,1.0,3,260000.0
3360,2.0,4,455000.0
1510,2.0,3,415000.0
1400,1.0,3,349500.0
1730,2.0,3,245000.0
1420,1.5,2,592500.0
2360,1.0,4,385000.0
1580,1.0,3,315000.0
1230,1.0,3,255000.0
2460,2.0,4,693000.0
1660,1.5,3,780000.0
1270,1.0,3,237000.0
2100,2.0,3,525000.0
770,1.0,2,425000.0
760,1.0,1,369900.0
1700,2.0,4,290000.0
1120,1.0,3,285000.0
1070,1.0,2,415000.0
2070,1.0,3,272500.0
5050,1.5,4,2900000.0
5310,2.0,4,1365000.0
1040,1.0,2,436000.0
1700,1.0,3,210000.0
1300,1.0,3,236000.0
1080,1.0,3,331000.0
2653,2.0,3,365000.0
2290,1.0,3,450000.0
3820,2.0,4,770000.0
2210,1.0,4,455000.0
2390,1.0,3,405000.0
2600,1.0,4,304900.0
860,1.0,2,170000.0
3830,2.0,5,2050000.0
3500,2.0,4,780000.0
2420,1.0,3,330000.0
2720,2.0,4,370000.0
2500,1.0,5,467000.0
1670,1.0,3,405000.0
2900,1.0,5,675000.0
1640,1.0,2,500000.0
1890,2.0,4,389999.0
2950,1.0,4,630000.0
2160,2.0,4,360000.0
3280,2.0,4,580000.0
1970,2.0,3,550000.0
3360,2.0,4,879000.0
1320,1.0,3,265000.0
2650,2.0,3,446500.0
2030,1.0,3,404000.0
1590,1.0,3,267500.0
4550,1.0,4,3075000.0
2440,2.0,3,335000.0
1940,1.0,3,576000.0
2040,2.0,3,208633.0
2200,1.0,3,315000.0
1920,1.0,3,725000.0
1800,1.0,4,550000.0
2180,2.0,4,610750.0
1010,1.5,2,550700.0
3320,2.0,4,665000.0
2370,1.5,4,834000.0
1660,1.5,5,201000.0
3650,2.0,5,2384000.0
4290,1.0,4,1384000.0
4290,1.0,4,1400000.0
1950,1.0,4,305000.0
2590,1.0,3,487000.0
1930,1.0,3,390000.0
1470,1.0,2,548000.0
800,1.0,4,268750.0
3150,2.0,5,819900.0
2030,2.0,3,520000.0
1450,1.0,3,230000.0
1510,1.0,3,240000.0
1240,1.0,2,232000.0
1240,1.0,2,240500.0
3030,2.0,3,274975.0
2050,1.5,4,740000.0
1000,1.0,3,186375.0
2370,1.0,3,790000.0
2800,2.0,4,880000.0
2240,2.0,6,279000.0
1810,1.0,3,295000.0
1070,1.0,2,640000.0
2490,2.0,4,940000.0
1960,2.0,4,260000.0
2930,1.0,3,559900.0
1510,1.5,4,791500.0
1420,1.0,3,265000.0
1740,1.0,3,245000.0
2560,2.0,4,485000.0
3040,2.0,4,684000.0
2500,1.0,3,425000.0
1275,1.0,4,309600.0
2580,2.0,4,552250.0
1000,1.0,4,165000.0
1000,1.0,4,239900.0
1070,1.0,2,320000.0
1390,1.0,3,206600.0
2500,1.0,4,387000.0
560,1.0,1,299000.0
2270,2.0,4,855000.0
1900,1.0,3,315000.0
990,1.0,2,437500.0
1550,1.0,4,252000.0
2200,1.0,4,375000.0
1910,2.0,4,300000.0
1750,1.5,4,420000.0
1330,1.0,3,900000.0
2440,2.0,3,679900.0
1640,2.0,3,463000.0
2760,2.0,5,380000.0
1820,2.0,4,329500.0
2110,1.0,3,604950.0
3040,1.0,5,795000.0
1840,2.0,3,465000.0
2990,2.0,4,673000.0
3520,2.0,4,810000.0
2440,1.0,4,785000.0
2090,1.0,4,338000.0
1430,2.0,3,280000.0
2180,1.0,4,315000.0
2180,1.0,4,530000.0
3450,2.0,5,380000.0
1450,2.0,3,297000.0
3230,2.0,4,730000.0
1640,1.0,3,450000.0
1590,1.0,3,275000.0
2020,2.0,4,595000.0
1300,1.5,3,435000.0
1380,1.0,2,270000.0
4040,2.0,3,950000.0
2130,2.0,4,389000.0
2550,1.0,4,560000.0
4800,2.0,5,1350000.0
2510,2.0,4,799000.0
1410,1.0,3,365500.0
1650,1.0,3,252350.0
2120,2.0,4,403950.0
2040,1.0,4,385000.0
1550,1.5,4,345000.0
1980,2.0,3,490000.0
1600,2.0,3,330000.0
3300,2.0,4,927000.0
3840,2.0,4,1118000.0
1220,1.0,2,330000.0
2720,1.0,5,530000.0
1940,1.0,4,365000.0
2160,1.5,3,378750.0
1530,1.5,4,269900.0
1710,2.0,3,557000.0
3730,1.0,4,360000.0
940,1.0,2,352000.0
1750,2.0,3,437000.0
1820,2.0,4,322500.0
1510,2.0,3,650000.0
1290,3.0,3,450000.0
1570,1.0,3,278500.0
1930,2.0,4,364950.0
2840,1.0,4,840000.0
1550,2.0,3,268000.0
833,1.0,2,517534.0
2990,2.0,3,632925.0
2000,2.0,3,577500.0
2390,1.5,4,339000.0
2910,1.0,3,570000.0
2085,1.0,4,563500.0
2200,1.0,4,423000.0
1860,2.0,3,355000.0
6070,2.0,5,1550000.0
950,1.0,2,482000.0
1600,1.0,3,625000.0
2250,2.0,3,538000.0
2280,2.0,3,380000.0
940,1.0,2,375000.0
1530,1.0,3,245000.0
2190,1.0,5,310000.0
2350,1.0,3,1300000.0
1440,1.0,4,397000.0
2200,2.0,3,365000.0
2290,2.0,4,328500.0
4040,2.0,4,988000.0
2610,1.5,4,1000000.0
1490,2.0,3,237000.0
2450,2.0,4,525000.0
1710,1.0,4,749000.0
4870,2.0,5,722500.0
3130,2.0,3,843000.0
1270,3.0,2,438000.0
2120,1.0,3,578000.0
1670,1.0,3,227950.0
2070,2.0,3,196000.0
1420,1.0,2,641000.0
1250,1.0,3,350000.0
940,1.0,3,205000.0
1920,1.0,3,400000.0
3545,1.0,3,1030000.0
1260,1.0,3,505000.0
2340,1.0,5,475000.0
2590,1.0,3,520000.0
3970,2.0,3,1450000.0
1220,1.0,3,333500.0
1400,1.0,3,232000.0
2360,1.0,3,691100.0
1870,1.0,3,811000.0
2830,2.0,3,551000.0
2260,2.0,3,496500.0
1970,2.0,3,705000.0
3140,1.0,4,578000.0
1240,1.0,3,255000.0
3450,2.0,4,1050000.0
2570,2.0,3,348000.0
1510,2.0,3,230000.0
2390,2.0,4,359500.0
980,1.0,3,330000.0
430,1.0,1,80000.0
1480,1.0,3,465000.0
1850,2.0,4,325000.0
2270,1.0,3,340500.0
1810,2.0,3,342500.0
1610,2.0,2,290900.0
3840,2.0,3,868700.0
4110,2.0,4,1199000.0
4190,2.0,4,1150000.0
3390,2.0,4,859900.0
1890,2.0,4,520000.0
1610,2.0,3,460000.0
1050,1.0,3,438924.0
630,1.0,2,315000.0
2910,1.0,4,590000.0
1700,1.0,4,378500.0
1950,2.0,3,328500.0
2990,2.0,3,849950.0
1350,1.0,3,525000.0
4860,2.5,4,1385000.0
2160,1.0,4,295000.0
4860,2.0,6,1067000.0
890,1.0,2,207950.0
2810,2.0,4,699900.0
3400,2.0,5,1280000.0
1580,1.0,4,452000.0
1680,1.0,3,370000.0
1300,1.0,3,232000.0
2820,2.0,5,669950.0
1510,1.0,3,397500.0
1230,2.0,2,490000.0
2110,2.0,4,725000.0
3080,1.0,3,299000.0
1490,1.5,2,625000.0
2120,2.0,3,437500.0
3180,2.0,4,650000.0
1490,1.0,2,475000.0
1930,1.0,3,342000.0
2770,2.0,4,1197350.0
1670,1.0,3,280000.0
1330,1.0,2,240000.0
1210,1.5,3,529000.0
1190,1.0,3,442000.0
1540,1.0,2,615000.0
4030,2.0,4,1485000.0
2430,1.0,4,585000.0
2600,2.0,4,480000.0
4410,2.0,5,1095000.0
1330,1.5,4,290000.0
1900,1.0,3,615000.0
1100,1.0,2,300000.0
1980,1.5,3,308000.0
2400,2.0,3,750000.0
4760,2.5,4,2250000.0
3180,2.0,4,890000.0
1190,1.0,3,288000.0
630,1.0,2,190000.0
2530,1.0,5,515000.0
1690,1.0,4,235000.0
940,1.0,2,275000.0
1240,1.0,2,727500.0
3040,2.0,4,650000.0
6050,2.0,6,1600000.0
1590,1.5,4,365000.0
2500,1.0,3,662000.0
1780,1.0,3,270500.0
1360,2.0,2,200000.0
4740,2.0,4,970000.0
1010,1.0,3,160000.0
1040,1.0,3,204000.0
1610,2.0,3,358000.0
1570,1.0,4,452000.0
1510,1.0,2,595000.0
1360,1.0,3,249000.0
1970,2.0,4,346900.0
5403,2.0,3,2125000.0
1560,2.0,4,280000.0
2320,1.0,4,318888.0
2120,1.0,3,530000.0
2120,2.0,3,375000.0
3350,2.0,4,910000.0
2380,2.0,4,782000.0
1070,2.0,2,259950.0
2300,1.0,4,315000.0
1320,1.0,2,215000.0
2180,1.0,3,705000.0
4380,2.0,3,1450000.0
1790,2.0,3,451000.0
750,1.0,2,261000.0
1300,1.0,3,396000.0
2990,2.0,4,725000.0
4640,2.0,7,1950000.0
1400,1.5,4,238000.0
2750,2.0,6,750000.0
2050,2.0,4,331500.0
2230,1.0,4,460000.0
2340,1.0,4,404950.0
2870,2.0,3,880000.0
4120,2.0,4,863000.0
2080,1.0,3,638700.0
1840,2.0,3,435000.0
1180,1.5,3,260000.0
2160,1.5,5,671500.0
1180,1.5,3,610000.0
1160,1.0,2,405000.0
1830,2.0,4,338900.0
3200,2.0,4,720000.0
2560,1.5,5,442000.0
2550,1.5,5,650000.0
1330,1.0,3,263500.0
1220,1.0,2,300000.0
1805,2.0,3,266000.0
6050,2.5,4,930000.0
2320,2.0,4,530000.0
1384,1.0,3,180000.0
2720,2.0,3,619000.0
1820,1.0,3,264000.0
2130,1.5,2,730000.0
2060,2.0,4,439000.0
1420,1.0,4,268500.0
1510,1.0,3,330000.0
2160,1.5,3,640000.0
3180,2.0,3,900000.0
2110,2.0,3,370000.0
2060,1.5,3,685000.0
1830,1.0,3,505000.0
1820,1.0,3,265000.0
1610,2.0,3,290000.0
1780,2.0,4,296000.0
1840,2.0,4,360000.0
1460,1.0,3,240500.0
1400,2.0,2,372500.0
3370,2.0,3,595000.0
3590,2.0,4,515000.0
3200,2.0,4,1220000.0
1670,1.0,2,507000.0
2420,1.0,4,399950.0
1430,2.0,3,185000.0
1440,1.0,3,460000.0
1450,2.0,3,435500.0
3550,1.0,4,469000.0
1270,2.0,2,531000.0
940,1.0,2,443500.0
1670,1.0,3,223000.0
3100,2.0,4,590000.0
1100,3.0,2,340000.0
1870,1.0,3,650000.0
1930,2.0,3,533600.0
2540,2.0,3,695000.0
1280,1.5,3,242000.0
1820,1.0,3,425000.0
1490,2.0,3,525000.0
1880,2.0,3,485000.0
1250,1.0,3,175000.0
1440,1.0,3,210000.0
1920,2.0,3,260000.0
2060,1.0,3,577000.0
1210,1.0,3,200000.0
1760,1.0,2,605000.0
990,1.0,3,325000.0
960,1.0,3,289500.0
1660,3.0,3,559950.0
1900,1.0,3,1042500.0
1270,1.0,3,543500.0
3250,2.0,4,480000.0
960,1.0,3,218000.0
1330,1.0,2,565000.0
2080,1.0,3,426700.0
2690,1.0,3,650000.0
890,1.0,2,542000.0
1070,1.0,3,415000.0
1200,1.0,3,214000.0
1360,2.0,3,245000.0
2050,1.0,3,314500.0
3000,2.0,3,1120000.0
1300,1.0,2,378000.0
2250,1.0,4,305000.0
3740,1.0,5,595000.0
1660,3.0,3,729500.0
2360,2.0,3,430000.0
1760,1.0,3,240000.0
1680,1.5,3,545000.0
1320,1.0,3,530000.0
870,1.0,1,157000.0
1260,1.5,4,425000.0
1000,1.0,3,220000.0
2020,1.0,4,521000.0
1920,1.0,3,325000.0
2150,1.5,3,597500.0
1470,2.0,3,337000.0
3180,2.0,3,1000000.0
3930,1.0,3,3070000.0
990,1.0,3,495000.0
2770,2.0,4,748000.0
1250,1.0,3,888000.0
1140,1.0,3,269900.0
2250,1.0,4,496500.0
1640,2.0,3,475000.0
1255,3.0,3,312000.0
1290,1.0,3,323000.0
1300,1.0,3,331000.0
1220,3.0,3,306000.0
2630,3.0,4,655000.0
1950,1.0,3,290000.0
3160,2.0,4,1250000.0
1550,1.0,3,460000.0
1700,1.0,4,435000.0
2510,1.0,4,664000.0
1800,2.0,4,865000.0
1800,1.0,3,385000.0
1870,1.0,3,497000.0
1010,1.0,2,280000.0
1120,1.0,2,188000.0
2090,1.0,3,478500.0
4370,2.0,4,1145000.0
1440,1.0,3,222000.0
2580,2.0,4,799000.0
3190,2.0,4,609900.0
2380,2.0,4,413000.0
1420,1.5,4,400000.0
2990,2.0,5,802541.0
2680,2.0,3,320000.0
2730,2.0,4,507000.0
1220,1.0,3,387500.0
1500,1.0,3,396000.0
1830,1.0,3,373000.0
4570,2.0,5,1484900.0
2470,2.0,4,359900.0
800,1.0,2,410000.0
2900,2.0,4,690000.0
1410,1.0,3,245000.0
2830,1.0,5,700000.0
1680,1.0,4,268000.0
1760,1.0,3,225000.0
2240,2.0,4,980000.0
1380,1.5,2,795000.0
820,1.0,2,195000.0
2180,1.0,4,480000.0
1400,1.0,4,485000.0
880,1.0,2,130000.0
1060,1.0,2,325000.0
1530,1.0,3,440000.0
2480,1.0,4,550000.0
1490,1.0,3,310000.0
3660,2.0,3,530000.0
2340,2.0,4,390000.0
1450,1.0,3,243000.0
2210,2.0,4,639000.0
1130,1.0,4,215000.0
1550,1.0,5,405000.0
1710,1.0,4,250000.0
1010,1.0,3,405500.0
2660,2.0,6,452000.0
2660,2.0,6,730000.0
1300,1.0,3,267000.0
1670,2.0,3,289950.0
960,1.0,2,565000.0
4670,2.0,4,1578000.0
2140,2.0,3,636000.0
2520,1.0,5,350000.0
1650,1.0,3,320000.0
1440,1.0,2,210000.0
1050,1.0,2,245000.0
1470,1.0,3,328000.0
4230,2.0,4,985000.0
1970,1.0,3,501000.0
1540,2.0,3,315000.0
2090,2.0,3,403000.0
2380,2.0,3,550000.0
2156,2.0,4,347500.0
2070,2.0,4,365000.0
1910,1.0,3,588000.0
1920,1.0,3,605000.0
3400,2.0,3,1300000.0
1400,1.0,3,233000.0
2210,2.0,4,360000.0
1170,1.0,2,459000.0
2100,1.0,3,740000.0
1160,1.0,3,305000.0
1500,1.0,3,395000.0
2940,2.0,4,560000.0
2010,1.0,4,650000.0
2170,2.0,3,449950.0
1430,1.0,3,517500.0
1510,1.0,4,435000.0
1150,1.0,3,329999.0
2150,1.0,3,950000.0
1370,1.0,3,447000.0
2380,1.0,2,699800.0
1370,1.0,3,850000.0
1600,1.0,3,316500.0
3750,1.0,5,942500.0
3950,2.0,2,1310000.0
2400,1.0,4,856600.0
2830,2.5,5,405600.0
2440,2.0,4,565000.0
1190,2.0,3,400000.0
1400,1.0,3,330000.0
2730,2.0,4,374950.0
2390,1.0,3,405300.0
2060,2.0,3,560000.0
2490,1.0,4,824000.0
1100,1.0,3,260000.0
2430,1.0,4,760000.0
3170,2.0,3,405000.0
2640,2.0,4,429900.0
1130,1.0,3,341500.0
1940,1.5,5,465250.0
1100,1.5,2,450000.0
1200,1.0,3,390000.0
2000,1.0,3,420000.0
1890,2.0,3,269950.0
1910,1.0,4,493000.0
2710,2.0,4,370000.0
4860,1.5,5,2250000.0
1250,1.0,3,305000.0
1590,1.5,3,400000.0
1240,2.0,3,320000.0
2000,2.0,4,715000.0
3610,1.5,6,650000.0
1930,1.0,5,218000.0
1280,1.0,2,500000.0
2090,1.0,4,460000.0
1940,1.0,3,232500.0
1800,2.0,3,408200.0
1730,1.0,3,522000.0
2810,2.0,4,675000.0
3550,1.0,4,1355000.0
1330,1.5,4,249950.0
750,1.0,2,210000.0
1760,1.0,4,429950.0
3200,2.0,4,737500.0
1740,1.0,4,710000.0
2100,2.0,3,470000.0
4270,1.0,4,1100000.0
1340,1.5,3,650000.0
3190,1.0,4,1216000.0
1630,2.0,3,422120.0
2990,2.0,5,625000.0
1550,1.5,4,385200.0
1690,2.0,3,500000.0
1960,2.0,4,308000.0
2390,1.0,3,565000.0
2600,2.0,3,581000.0
1950,1.0,3,361000.0
1250,1.0,3,345000.0
1180,2.0,2,419000.0
1680,2.0,3,347000.0
2220,2.0,4,625000.0
4890,2.0,4,2400000.0
2660,2.5,3,379000.0
1150,2.0,3,310000.0
1130,1.0,2,250000.0
2760,2.0,5,682000.0
1430,1.0,3,246500.0
1490,1.5,3,325000.0
2030,2.0,4,310950.0
3010,2.0,3,1100000.0
1810,1.0,3,287500.0
1810,1.0,3,431000.0
970,1.0,3,226000.0
2010,1.5,3,825000.0
1300,1.5,4,175000.0
1260,1.0,3,465750.0
2610,2.0,4,659000.0
1910,1.0,3,595000.0
1780,2.0,3,350000.0
1900,1.0,4,270000.0
2450,1.0,6,662500.0
1380,1.0,3,249900.0
1920,1.0,3,324500.0
1350,1.0,2,430000.0
1350,1.0,2,419950.0
2510,1.0,4,285000.0
2470,2.0,4,332000.0
1660,1.0,4,282000.0
1340,1.0,3,320000.0
1620,1.5,3,428750.0
2300,2.0,3,330000.0
2000,3.0,4,456500.0
1640,1.0,3,352000.0
1530,1.5,4,664000.0
4000,1.0,3,628000.0
1610,1.0,3,512000.0
2070,1.0,3,254000.0
1900,2.0,4,535800.0
1050,1.0,3,287653.0
1520,2.0,3,438000.0
2390,1.0,4,450000.0
2400,2.0,5,327000.0
1790,2.0,4,370500.0
1720,2.0,3,265000.0
2980,1.0,4,450000.0
1520,1.5,3,425000.0
1150,1.0,3,166600.0
380,1.0,1,245000.0
910,1.0,3,565000.0
1650,1.0,3,539900.0
2480,2.0,3,910000.0
2050,2.0,4,280000.0
1420,2.0,3,275000.0
3460,2.0,3,467000.0
1500,2.0,3,457500.0
1320,1.0,2,381156.0
2180,1.0,5,289999.0
1830,1.0,3,642450.0
1620,1.0,3,469950.0
2920,1.0,3,795000.0
3300,2.0,4,785000.0
3060,2.0,3,860000.0
3064,3.5,0,1095000.0
1530,1.0,3,147500.0
1910,1.0,3,390000.0
1020,1.0,3,229000.0
1150,1.0,3,185000.0
1260,1.0,3,414900.0
1920,1.0,4,200000.0
1800,1.0,4,225000.0
2040,2.0,3,720000.0
2200,2.0,4,930000.0
3200,1.0,5,1270000.0
2400,2.0,5,700000.0
1140,3.0,2,466000.0
1330,1.0,3,374000.0
1940,2.0,3,480000.0
3000,2.0,3,740000.0
1820,1.5,4,1010000.0
2910,2.0,4,395000.0
1090,1.0,2,340000.0
1230,2.0,3,209000.0
1710,1.5,5,431650.0
3160,1.0,5,980000.0
2680,2.0,3,660000.0
2190,2.0,4,730000.0
1260,1.0,3,291500.0
2970,2.0,4,905000.0
2570,1.5,4,800000.0
3810,1.0,4,839900.0
1010,2.0,1,200000.0
1480,1.0,3,300000.0
1250,1.5,3,530000.0
1654,2.0,3,314950.0
1410,1.0,3,255000.0
2160,1.0,5,550000.0
1400,1.0,3,435000.0
1420,1.0,3,234000.0
2500,1.0,4,615000.0
1410,1.0,3,205000.0
2100,1.0,4,384000.0
1750,2.0,3,324000.0
2070,1.0,3,645000.0
1570,2.0,3,570000.0
1920,2.0,3,324000.0
1000,1.0,2,270000.0
2120,1.5,5,290000.0
1440,1.0,3,250000.0
1660,2.0,3,342000.0
1340,1.0,3,255000.0
2380,1.0,3,800000.0
1560,1.5,3,451000.0
2780,1.0,4,990000.0
1860,1.0,4,288400.0
2390,2.0,3,420000.0
1370,2.0,2,359000.0
2570,1.0,4,390000.0
1320,2.0,3,300000.0
2520,1.0,5,545000.0
1250,1.0,3,288349.0
1560,1.0,3,299900.0
2330,1.5,4,891000.0
3660,1.0,3,1200000.0
2790,2.0,4,378000.0
1060,1.0,2,299995.0
2020,1.0,3,253000.0
1580,1.0,3,350000.0
2020,1.5,4,565000.0
970,1.0,2,315000.0
1490,1.5,4,570000.0
4390,2.0,5,971000.0
2750,1.5,5,915000.0
2150,1.0,4,419000.0
1810,1.0,4,260000.0
2230,2.0,3,1321500.0
2430,1.0,3,369950.0
3680,2.0,3,1029900.0
1410,1.5,5,435000.0
1330,1.0,3,601000.0
1490,1.0,3,460500.0
2020,3.0,3,720000.0
3130,2.0,4,851000.0
2670,2.0,4,550000.0
1980,1.5,4,700000.0
2100,1.0,3,323000.0
1350,1.0,3,345500.0
2140,1.0,4,378000.0
2208,3.0,4,650000.0
1010,1.0,3,385000.0
970,1.0,2,425000.0
1520,1.5,4,210000.0
2740,2.0,4,630000.0
1570,1.0,3,335000.0
1320,1.0,3,196500.0
2550,1.0,4,582800.0
1560,1.0,3,440000.0
2360,2.0,4,752500.0
1330,2.0,3,532500.0
1070,1.0,3,265000.0
1510,1.0,3,397500.0
1710,2.0,3,524250.0
2790,2.0,4,765000.0
2620,2.0,4,648000.0
2970,1.0,5,469500.0
1050,1.0,3,237500.0
1280,1.0,3,216000.0
1030,1.0,3,427200.0
1900,1.0,3,280000.0
3070,1.0,5,718000.0
1760,2.0,2,420000.0
930,1.0,2,379000.0
880,1.0,2,326100.0
1360,3.0,3,535000.0
2130,1.0,4,283000.0
1480,1.5,3,260000.0
1500,1.5,4,399000.0
1670,2.0,3,484950.0
2060,1.0,4,640000.0
2160,1.0,4,585000.0
2780,1.0,4,645000.0
1490,1.0,3,253000.0
740,1.0,2,178500.0
1860,2.0,4,291000.0
